Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Mask_POLYFUSE_9Z_Generic,Layer,220,0,220,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_POLYCON_7J_Generic,Layer,194,0,194,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PLDBODY_0U_Generic,Layer,39,28,39,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PLDBODY2_AL_Generic,Layer,48,28,48,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PISODEVICE_0F_Generic,Layer,24,28,24,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PISCAP_7D_Generic,Layer,120,0,120,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PIB_99_Generic,Layer,50,0,50,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PField_15_Generic,Layer,23,0,23,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PF1VA_17_Generic,Layer,149,0,149,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PDRIFT_BV_Generic,Layer,18,29,18,29,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PBL_BR_Generic,Layer,14,29,14,29,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_OTP_PMemCell_6M_Generic,Layer,147,0,147,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_OTP_HIVTP_1D_Generic,Layer,177,0,177,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_OTPGate_3D_Generic,Layer,225,0,225,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Nwell_05_Generic,Layer,21,0,21,0,NIL,NIL,NIL,NIL,,,,,,,,,
